Types de métiers recherchés,Expérience professionnelle,Compétences,Formation,Compétences clés,Langues,Plus d'informations
" Achats Commercial, vente Informatique, nouvelles technologies RH, formation"," Expérience dans les secteurs d´activité suivants : Agroalimentaire Hôtellerie, restauration Informatique, SSII, Internet Intérim, recrutement Nettoyage, sécurité, surveillance Vendeur dans un magasin des vêtements Magasin de vêtements 06.2023 - 09.2024 Je travaille dans un magasin de vêtements où j'accueille les clients avec le sourire et leur montre les prix avec patience. Je vends les articles avec joie et m'assure qu'ils se sentent à l'aise. Dans le magasin, je range les produits, nettoie et veille à la propreté. J'essaie toujours d'être courtois et respectueux avec les clients. Cela me procure beaucoup de satisfaction dans mon travail."," Diplôme du baccalauréat (2024), j'ai de l'expérience dans le domaine de la vente et de la coordination de vêtements et j'ai hâte de relever le défi. Je suis ravi de rejoindre votre équipe dynamique et je suis prêt à mettre à profit mon expérience et mon enthousiasme pour contribuer au succès de votre entreprise.", Niveau d'études : Bac génie électrique Faculté des sciences aïn choq Depuis 10.2024 En cours, Marketing des Ventes, Arabe Maternelle Français Débutant, Disponibilité : dans 6 mois Mobilité géographique : Casablanca-Mohammedia Lieu de résidence : Casablanca Types de contrats acceptés : Stage - Temps partiel
" Informatique, nouvelles technologies Métiers des services"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Recherche et développement Télécom Technicien de test TRONICO ATLAS 03.2022 - 07.2022 j'étais un technicien de test AOI(Automatic optic inspection), chargé de tester les cartes électronique en 2D, 3D, RX. aussi la programmation de brasure, valeur et présence des composants élémentaires du carte.", Habileté d'utiliser les outils informatique.  Empathie et possiblité de me mettre à la porté des prospects  Adaptatif et rigoureux," Niveau d'études : Bac+3 Technicien spécialisé en développement informatique OFPPT 09.2019 - 06.2021 passionné par l'univers du web, capable de maîtriser quelques langages de programmation tel que c# en utilisant le framework .NET, ainsi combiner html, css et js pour réaliser des sites internet. Developpeur Web et Mobile Université Ibn Tofail 10.2022 - 10.2023 php, node js , java , java ee,", JAVASCRIPT CSS HTML PHP JAVA, Arabe Courant Français Courant, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia - Rabat-Salé-Kénitra - Tanger-Tétouan-Al Hoceïma Lieu de résidence : Rabat Types de contrats acceptés : CDI - CDD - Stage
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Saisie de données OMPIC 09.2024 - 11.2024 Travail sur le vidéo codage, le typage et l'identification analyste de base de données AXA ASSURANCE 04.2024 - 04.2024 Stage en tant qu'analyste de base de données développeur junior RIM TELECOM 04.2023 - 04.2023 Stage en tant que développeur junior."," Front-end: HTML, CSS, JavaScript, React.js Back-end: Node.js, PHP, Laravel,Base de donnée Langages: Python"," Niveau d'études : Bac+2 Technicien spécialisé en développement digital Full Stack INSTITUT SPECIALISE DE TECHNOLOGIE APPLIQUEE NTIC 09.2021 - 06.2024 Développeur spécialisé dans la création et la maintenance de solutions logicielles robustes. Maîtrise des technologies front-end et back-end, notamment HTML, CSS, JavaScript, Node.js, PHP et Python. Expert dans la résolution proactive de problèmes, avec un fort engagement pour la qualité du code et une passion pour l'innovation technologique. Actuellement à la recherche d'opportunités pour contribuer à des projets ambitieux tout en perfectionnant mes compétences en développement Full Stack",, Anglais Courant Arabe Maternelle Français Courant, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia - Marrakech-Safi Lieu de résidence : Casablanca Types de contrats acceptés : CDI - CDD - Intérim
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet non renseigné"," Langues : Français (bon niveau), Anglais (bon niveau)  Informatique :  Bureautique : Word, Excel, PowerPoint  Développement : Java, C, SQL  Réseaux : Notions de sécurité informatique et protocoles de communication  Permis de conduire : Catégorie B"," Niveau d'études : Bac+3 Cycle d'Ingénieur en Génie Informatique et confiance numérique École Nationale des Sciences Appliquées de Fès (ENSA Fès) 09.2022 - 09.2025 Le Cycle d'Ingénieur en Génie Informatique à l'ENSA Fès forme des ingénieurs polyvalents maîtrisant la programmation, les bases de données, les réseaux, la cybersécurité et la gestion de projets informatiques. Cette formation allie théorie et pratique à travers des projets et travaux appliqués, préparant ainsi aux défis du monde professionnel.", JAVA Language c MYSQL LINUX Logiciel Informatique EXCEL, Français Courant, Disponibilité : immédiatement Mobilité géographique : Fès Lieu de résidence : Fes Types de contrats acceptés : non renseigné
" Informatique, nouvelles technologies Métiers des services Secrétariat, assistanat Télémarketing, téléassistance"," Expérience dans les secteurs d´activité suivants : Centres d´appel, hotline, call center Informatique, SSII, Internet Marketing, communication, médias Services autres Attachée commerciale Tarymed 06.2007 - 12.2007 J'allais voir les administrations et les ministères pour leur proposer les matériaux en informatique ainsi que les matériaux de sécurité. Teleconseillère Isosel 07.2009 - 01.2010 Téléconseillère dans un centre d'appel, pour un projet  en émission d'appel UNADEV association de chiens guide d'aveugle Téléconseillère Network online 03.2010 - 12.2010 Téléconseillère dans un centre d'appel pour un projet en émission d'appel, pour le compte de médecin sans frontière. Assistante commerciale Medglass industrie 06.2011 - 03.2012 Assistante commerciale dans une société industrielle de verre , je faisais tous ce qui est facture, devis tout en accueillant aussi les clients. Networking marketeur Club shop et tvi expresd 04.2012 - 08.2016 Je faisais du marketing en proposant des services virtuelles tout en faisant de l'affiliation en freelance. Conseillère clientèle Teleperforma ce 10.2016 - 01.2017 Conseillère clientèle dans un centre d'appel pour le projet Colissimo en réception d'appel, contrat CDD. Webmarketeur Builderall 03.2017 - 06.2020 Je proposais des outils digitaux aux entrepreneurs ou pour ceux et celles qui souhaitent développer leurs créativité, tout en faisant de l'affiliation aussi. Conseillère clientèle Webhelp 07.2020 - 06.2022 Conseillère clientèle en réception d'appel, dans un centre d'appel pour un projet Belge, fournisseur de gaz et d'électricité qui s'appelle Luminus . Webdesigner en freelance Builderall Depuis 06.2022 Je fais provisoirement des sites internet, mais là je recherche un poste dans le salariat comme ça ne marche plus comme avant la vente de site internet."," Mes compétences sont : Très bon français à l'oral et à l'écrit, Bonne communication Aime faire des sites internet, de la transcription, Compétence en informatique,la saisie Sur plusieurs logiciels.", Niveau d'études : Bac+3 Baccalauréat Gustave Flaubert 09.2000 - 06.2001 Baccalauréat scientifique technologie tertiaire Diplôme en informatique de gestion Institut Virtuose 10.2001 - 06.2003 Certificat de marketing digital Builderall 09.2018 - 06.2020 Certificat de marketing digital,, Français Maternelle, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia - Rabat-Salé-Kénitra - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : Casablanca Types de contrats acceptés : CDI - Freelance
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Ingénierie, études développement Back-end office Majorel Africa 07.2018 - 11.2022 full stack develoepr Yanvision 08.2023 - 02.2025", dynamique . Un grand esprit de travail soit seulement ou en groupe. bien maîtrisée la langue anglaise . un grand sens d’écoute et d'adaptation ., Niveau d'études : Bac+4 Etudes anglaises Université Hassan II-ben ms'ik Casablanca 10.2016 - 06.2019 baccalauréat lycée El bohtouri 09.2015 - 06.2016 titulaire d’un Baccalauréat Sciences Expérimentales Ingénierie de conception et de Développement d'Applications Faculte des sciences et Techniques -settat Depuis 10.2022, HTML CSS3 LARAVEL REACT DJANGO POSTGRESQL DOCKER quasar, Anglais Bon niveau Arabe Maternelle Français Intermédiaire, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia Lieu de résidence : CASABLANCA Types de contrats acceptés : CDI - CDD - Intérim - Stage - Freelance
" Informatique, nouvelles technologies Métiers du BTP"," Expérience dans les secteurs d´activité suivants : Qualité, méthodes Ingénierie, études développement Immobilier, architecture, urbanisme BTP, construction non renseigné", La rigueur et le relationnel sont des atouts que je ne cesse de développer dans mon environnement et qui m’assurent d’une qualité de travail reconnu., Niveau d'études : Bac+5 et plus Génie civil Ecole Marocaine d'inGénierie (EMG CASA) 09.2014 - 07.2016, BTP, Anglais Intermédiaire Arabe Maternelle Français Courant, Disponibilité : immédiatement Mobilité géographique : Agadir - Laâyoune - Oujda - Tanger-Tétouan-Al Hoceïma - Casablanca-Mohammedia - Marrakech-Safi - Rabat-Salé-Kénitra - International - Fès - Meknès - Settat Lieu de résidence : Casablanca Types de contrats acceptés : CDI - CDD - Intérim - Stage
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet non renseigné", développeur fullstack.( django laravel ) spring( moyen), Niveau d'études : Bac+5 et plus Conception et développement de solutions digitales Instituts Supérieur de Management (ISM) Dakar 09.2024 - 06.2025, FULL STACK, Anglais Intermédiaire Français Courant, Disponibilité : immédiatement Mobilité géographique : International Lieu de résidence : Dakar Types de contrats acceptés : CDI - CDD - Intérim - Stage - Freelance - Alternance - Temps partiel
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Stagiaire Développeur PHP (PFE) MAXMIND.ma 12.2021 - 02.2022 SCSS, Bootstrap, Jqeury, lodash, PHP, Axios, PDO, Git. Stagiaire Développeur Fullstack (PFE) Avantages Entreprises 03.2023 - 06.2023 React, Laravel, Tailwind, PHP, Axios, Git, Jira, GCP, Debian ."," Responsive Web Design, HTML, CSS / SCSS, Bootstrap, Tailwind, Javascript, REST APIs, lodash, Axios, Git, AWS, GCP, PHP, Laravel, SQL, Python, React, TypeScript, Vue, Node, NextJS, JEE.", Niveau d'études : Bac+3 Méthodes Informatiques Appliquées À La Gestion Des Entreprises Université Hassan II - FSJES Ain Sebaâ 09.2022 - 07.2023 Diplôme Technicien Spécialisé en Développement Multimédia Institut Spécialisé de Technologie Appliquée Arts Graphiques 09.2020 - 07.2022, HTML CSS BOOTSTRAP JAVASCRIPT API REST AXIOS GIT AMAZON AWS PHP LARAVEL SQL MYSQL POSTGRESQL PYTHON REACT ANGULAR JS NODE JS JAVA JAVA JEE SPRING, Anglais Bon niveau Arabe Maternelle Français Bon niveau, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia - Rabat-Salé-Kénitra - International Lieu de résidence : Casablanca Types de contrats acceptés : CDI - Intérim - Stage
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Centres d´appel, hotline, call center Informatique, SSII, Internet Morservs (Stage java/J2E) Morservs 10.2022 - 05.2024 Contribué à la conception et au développement d'une plateforme étudiante, en utilisant Figma pour les wireframes et en développant des interfaces avec React et Bootstrap, ainsi que des Web services en JAVA/JEE et JSP. Conception de wireframes et modèles UI/UX avec Figma. Développement d'interfaces utilisant React et Bootstrap. Création des APIs avec Symfony. Collaboration étroite avec une équipe multidisciplinaire dans Un environnement agile. Adaptation rapide aux exigences changeantes du projet. Modélisation UML pour la conception de l'architecture.  Développer un système complet de gestion de factures utilisant Spring Boot et Angular. Implémenter l'authentification utilisateur avec JWT, les opérations CRUD pour les factures, la génération de PDF et la Fonctionnalité d'envoi par e-mail. Créer une interface utilisateur responsive, intégrée avec PostgreSQL, et suivi d’un plan de développement bien organisé. Utiliser la containerisation avec Docker, Git/GitLab pour la Gestion de version et travail sous la méthodologie Agile."," Développeur Full Stack spécialisé en backend avec expertise en Spring Boot, Java, JEE et Symphony, ainsi qu'une solide expérience en développement frontend avec React et Angular. Capable de concevoir et de déployer des solutions web performantes et évolutives, tout en collaborant efficacement dans un environnement agile.", Niveau d'études : Bac+3 Licence Professionnelle Universitaire  Développement Full Stack et Devops Faculté Hassan II Des Sciences Ain Chock 10.2023 - 08.2024,, Anglais Courant Arabe Maternelle Français Courant, Disponibilité : immédiatement Mobilité géographique : Agadir - Casablanca-Mohammedia - Fès - Laâyoune - Marrakech-Safi - Meknès - Rabat-Salé-Kénitra - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : Casablanca Types de contrats acceptés : CDI - CDD - Stage
